locality,fips,year,race,pop_17under
"Charlottesville city, VA",51540,2019,Black or African American,2085
"Charlottesville city, VA",51540,2019,White,4750
"Charlottesville city, VA",51540,2020,American Indian or Alaska Native,30
"Charlottesville city, VA",51540,2020,Asian or Pacific Islander,483
"Charlottesville city, VA",51540,2020,Black or African American,2044
"Charlottesville city, VA",51540,2020,White,4759
Virginia,51,1990,American Indian or Alaska Native,3523
Virginia,51,1990,Asian or Pacific Islander,46298
Virginia,51,1990,Black or African American,347203
Virginia,51,1990,White,1123646
Virginia,51,1991,American Indian or Alaska Native,3701
Virginia,51,1991,Asian or Pacific Islander,48039
Virginia,51,1991,Black or African American,358063
Virginia,51,1991,White,1138455
Virginia,51,1992,American Indian or Alaska Native,3931
Virginia,51,1992,Asian or Pacific Islander,50198
Virginia,51,1992,Black or African American,371113
Virginia,51,1992,White,1156302
Virginia,51,1993,American Indian or Alaska Native,4225
Virginia,51,1993,Asian or Pacific Islander,51617
Virginia,51,1993,Black or African American,381560
Virginia,51,1993,White,1167356
Virginia,51,1994,American Indian or Alaska Native,4478
Virginia,51,1994,Asian or Pacific Islander,52980
Virginia,51,1994,Black or African American,390686
Virginia,51,1994,White,1180567
Virginia,51,1995,American Indian or Alaska Native,4533
Virginia,51,1995,Asian or Pacific Islander,55508
Virginia,51,1995,Black or African American,398350
Virginia,51,1995,White,1190614
Virginia,51,1996,American Indian or Alaska Native,4812
Virginia,51,1996,Asian or Pacific Islander,58440
Virginia,51,1996,Black or African American,404033
Virginia,51,1996,White,1196862
Virginia,51,1997,American Indian or Alaska Native,5024
Virginia,51,1997,Asian or Pacific Islander,61885
Virginia,51,1997,Black or African American,411165
Virginia,51,1997,White,1205692
Virginia,51,1998,American Indian or Alaska Native,5372
Virginia,51,1998,Asian or Pacific Islander,65206
Virginia,51,1998,Black or African American,419711
Virginia,51,1998,White,1215972
Virginia,51,1999,American Indian or Alaska Native,5662
Virginia,51,1999,Asian or Pacific Islander,68523
Virginia,51,1999,Black or African American,426382
Virginia,51,1999,White,1222558
Virginia,51,2000,American Indian or Alaska Native,6680
Virginia,51,2000,Asian or Pacific Islander,73010
Virginia,51,2000,Black or African American,430893
Virginia,51,2000,White,1230837
Virginia,51,2001,American Indian or Alaska Native,7214
Virginia,51,2001,Asian or Pacific Islander,77378
Virginia,51,2001,Black or African American,431989
Virginia,51,2001,White,1237968
Virginia,51,2002,American Indian or Alaska Native,7661
Virginia,51,2002,Asian or Pacific Islander,82192
Virginia,51,2002,Black or African American,433821
Virginia,51,2002,White,1247573
Virginia,51,2003,American Indian or Alaska Native,8223
Virginia,51,2003,Asian or Pacific Islander,87105
Virginia,51,2003,Black or African American,435086
Virginia,51,2003,White,1251840
Virginia,51,2004,American Indian or Alaska Native,8840
Virginia,51,2004,Asian or Pacific Islander,92326
Virginia,51,2004,Black or African American,438141
Virginia,51,2004,White,1262651
Virginia,51,2005,American Indian or Alaska Native,9352
Virginia,51,2005,Asian or Pacific Islander,98275
Virginia,51,2005,Black or African American,439348
Virginia,51,2005,White,1269295
Virginia,51,2006,American Indian or Alaska Native,9949
Virginia,51,2006,Asian or Pacific Islander,103521
Virginia,51,2006,Black or African American,441029
Virginia,51,2006,White,1271869
Virginia,51,2007,American Indian or Alaska Native,10591
Virginia,51,2007,Asian or Pacific Islander,108809
Virginia,51,2007,Black or African American,441720
Virginia,51,2007,White,1273266
Virginia,51,2008,American Indian or Alaska Native,11195
Virginia,51,2008,Asian or Pacific Islander,114317
Virginia,51,2008,Black or African American,440701
Virginia,51,2008,White,1272148
Virginia,51,2009,American Indian or Alaska Native,12237
Virginia,51,2009,Asian or Pacific Islander,119613
Virginia,51,2009,Black or African American,442044
Virginia,51,2009,White,1271238
Virginia,51,2010,American Indian or Alaska Native,12864
Virginia,51,2010,Asian or Pacific Islander,125061
Virginia,51,2010,Black or African American,443850
Virginia,51,2010,White,1273199
Virginia,51,2011,American Indian or Alaska Native,12767
Virginia,51,2011,Asian or Pacific Islander,128731
Virginia,51,2011,Black or African American,439895
Virginia,51,2011,White,1276160
Virginia,51,2012,American Indian or Alaska Native,12616
Virginia,51,2012,Asian or Pacific Islander,133128
Virginia,51,2012,Black or African American,437831
Virginia,51,2012,White,1279049
Virginia,51,2013,American Indian or Alaska Native,12474
Virginia,51,2013,Asian or Pacific Islander,136903
Virginia,51,2013,Black or African American,436881
Virginia,51,2013,White,1278477
Virginia,51,2014,American Indian or Alaska Native,12337
Virginia,51,2014,Asian or Pacific Islander,140818
Virginia,51,2014,Black or African American,437120
Virginia,51,2014,White,1275654
Virginia,51,2015,American Indian or Alaska Native,12427
Virginia,51,2015,Asian or Pacific Islander,144912
Virginia,51,2015,Black or African American,437870
Virginia,51,2015,White,1273345
Virginia,51,2016,American Indian or Alaska Native,12543
Virginia,51,2016,Asian or Pacific Islander,148866
Virginia,51,2016,Black or African American,438259
Virginia,51,2016,White,1272206
Virginia,51,2017,American Indian or Alaska Native,12627
Virginia,51,2017,Asian or Pacific Islander,152107
Virginia,51,2017,Black or African American,438856
Virginia,51,2017,White,1269371
Virginia,51,2018,American Indian or Alaska Native,12694
Virginia,51,2018,Asian or Pacific Islander,153898
Virginia,51,2018,Black or African American,438900
Virginia,51,2018,White,1264550
Virginia,51,2019,American Indian or Alaska Native,12901
Virginia,51,2019,Asian or Pacific Islander,155939
Virginia,51,2019,Black or African American,439947
Virginia,51,2019,White,1259902
Virginia,51,2020,American Indian or Alaska Native,13288
Virginia,51,2020,Asian or Pacific Islander,157149
Virginia,51,2020,Black or African American,440964
Virginia,51,2020,White,1255019
